[2026-01-11T00:34:10.071+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-11T00:34:10.181+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-11T00:32:00+00:00 [queued]>
[2026-01-11T00:34:10.208+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-11T00:32:00+00:00 [queued]>
[2026-01-11T00:34:10.211+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-11T00:34:10.286+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-11 00:32:00+00:00
[2026-01-11T00:34:10.362+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=42173) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-11T00:34:10.384+0000] {standard_task_runner.py:64} INFO - Started process 42183 to run task
[2026-01-11T00:34:10.372+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-01-11T00:32:00+00:00', '--job-id', '36', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpey05zn2v']
[2026-01-11T00:34:10.423+0000] {standard_task_runner.py:91} INFO - Job 36: Subtask download_minio
[2026-01-11T00:34:10.696+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-11T00:32:00+00:00 [running]> on host 3794f638b1c8
[2026-01-11T00:34:11.059+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-11T00:32:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-11T00:32:00+00:00'
[2026-01-11T00:34:11.061+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-11T00:34:13.627+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083133.json -> /tmp/minio_downloads/1768083133.json
[2026-01-11T00:34:13.706+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083148.json -> /tmp/minio_downloads/1768083148.json
[2026-01-11T00:34:13.744+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083210.json -> /tmp/minio_downloads/1768083210.json
[2026-01-11T00:34:13.838+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083225.json -> /tmp/minio_downloads/1768083225.json
[2026-01-11T00:34:13.882+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083239.json -> /tmp/minio_downloads/1768083239.json
[2026-01-11T00:34:13.917+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083252.json -> /tmp/minio_downloads/1768083252.json
[2026-01-11T00:34:13.961+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083264.json -> /tmp/minio_downloads/1768083264.json
[2026-01-11T00:34:14.008+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083276.json -> /tmp/minio_downloads/1768083276.json
[2026-01-11T00:34:14.045+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083288.json -> /tmp/minio_downloads/1768083288.json
[2026-01-11T00:34:14.076+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083300.json -> /tmp/minio_downloads/1768083300.json
[2026-01-11T00:34:14.102+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083315.json -> /tmp/minio_downloads/1768083315.json
[2026-01-11T00:34:14.133+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083327.json -> /tmp/minio_downloads/1768083327.json
[2026-01-11T00:34:14.160+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083338.json -> /tmp/minio_downloads/1768083338.json
[2026-01-11T00:34:14.189+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083349.json -> /tmp/minio_downloads/1768083349.json
[2026-01-11T00:34:14.217+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083361.json -> /tmp/minio_downloads/1768083361.json
[2026-01-11T00:34:14.242+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083373.json -> /tmp/minio_downloads/1768083373.json
[2026-01-11T00:34:14.269+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083386.json -> /tmp/minio_downloads/1768083386.json
[2026-01-11T00:34:14.300+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083397.json -> /tmp/minio_downloads/1768083397.json
[2026-01-11T00:34:14.334+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083410.json -> /tmp/minio_downloads/1768083410.json
[2026-01-11T00:34:14.370+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083425.json -> /tmp/minio_downloads/1768083425.json
[2026-01-11T00:34:14.434+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083437.json -> /tmp/minio_downloads/1768083437.json
[2026-01-11T00:34:14.471+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083448.json -> /tmp/minio_downloads/1768083448.json
[2026-01-11T00:34:14.513+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083459.json -> /tmp/minio_downloads/1768083459.json
[2026-01-11T00:34:14.554+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083470.json -> /tmp/minio_downloads/1768083470.json
[2026-01-11T00:34:14.585+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083481.json -> /tmp/minio_downloads/1768083481.json
[2026-01-11T00:34:14.619+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083493.json -> /tmp/minio_downloads/1768083493.json
[2026-01-11T00:34:14.649+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083505.json -> /tmp/minio_downloads/1768083505.json
[2026-01-11T00:34:14.674+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083515.json -> /tmp/minio_downloads/1768083515.json
[2026-01-11T00:34:14.699+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083526.json -> /tmp/minio_downloads/1768083526.json
[2026-01-11T00:34:14.723+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083537.json -> /tmp/minio_downloads/1768083537.json
[2026-01-11T00:34:14.748+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083548.json -> /tmp/minio_downloads/1768083548.json
[2026-01-11T00:34:14.775+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083559.json -> /tmp/minio_downloads/1768083559.json
[2026-01-11T00:34:14.808+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083570.json -> /tmp/minio_downloads/1768083570.json
[2026-01-11T00:34:14.855+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083582.json -> /tmp/minio_downloads/1768083582.json
[2026-01-11T00:34:14.892+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083593.json -> /tmp/minio_downloads/1768083593.json
[2026-01-11T00:34:14.943+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083604.json -> /tmp/minio_downloads/1768083604.json
[2026-01-11T00:34:15.002+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083616.json -> /tmp/minio_downloads/1768083616.json
[2026-01-11T00:34:15.063+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083626.json -> /tmp/minio_downloads/1768083626.json
[2026-01-11T00:34:15.141+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083638.json -> /tmp/minio_downloads/1768083638.json
[2026-01-11T00:34:15.196+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083649.json -> /tmp/minio_downloads/1768083649.json
[2026-01-11T00:34:15.238+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083661.json -> /tmp/minio_downloads/1768083661.json
[2026-01-11T00:34:15.283+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083672.json -> /tmp/minio_downloads/1768083672.json
[2026-01-11T00:34:15.347+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083683.json -> /tmp/minio_downloads/1768083683.json
[2026-01-11T00:34:15.391+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083695.json -> /tmp/minio_downloads/1768083695.json
[2026-01-11T00:34:15.432+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083709.json -> /tmp/minio_downloads/1768083709.json
[2026-01-11T00:34:15.468+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083719.json -> /tmp/minio_downloads/1768083719.json
[2026-01-11T00:34:15.523+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083731.json -> /tmp/minio_downloads/1768083731.json
[2026-01-11T00:34:15.569+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083744.json -> /tmp/minio_downloads/1768083744.json
[2026-01-11T00:34:15.719+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083755.json -> /tmp/minio_downloads/1768083755.json
[2026-01-11T00:34:15.795+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083767.json -> /tmp/minio_downloads/1768083767.json
[2026-01-11T00:34:15.877+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083777.json -> /tmp/minio_downloads/1768083777.json
[2026-01-11T00:34:15.946+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083790.json -> /tmp/minio_downloads/1768083790.json
[2026-01-11T00:34:15.996+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083803.json -> /tmp/minio_downloads/1768083803.json
[2026-01-11T00:34:16.039+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083815.json -> /tmp/minio_downloads/1768083815.json
[2026-01-11T00:34:16.069+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083826.json -> /tmp/minio_downloads/1768083826.json
[2026-01-11T00:34:16.102+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083837.json -> /tmp/minio_downloads/1768083837.json
[2026-01-11T00:34:16.152+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083848.json -> /tmp/minio_downloads/1768083848.json
[2026-01-11T00:34:16.188+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083859.json -> /tmp/minio_downloads/1768083859.json
[2026-01-11T00:34:16.222+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083870.json -> /tmp/minio_downloads/1768083870.json
[2026-01-11T00:34:16.259+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083881.json -> /tmp/minio_downloads/1768083881.json
[2026-01-11T00:34:16.295+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1768083892.json -> /tmp/minio_downloads/1768083892.json
